neighbourhood,airbnb_count,tascas_count,avg_price_level,avg_rating,avg_reviews_count
Santa Maria Maior,3606,16,1.875,4.6,5.0
Arroios,2163,3,2.0,4.766666666666667,5.0
Estrela,989,2,2.5,4.550000000000001,5.0
Avenidas Novas,850,4,2.0,4.3,5.0
Colares,475,1,2.0,4.7,5.0
Campo de Ourique,446,1,2.0,4.6,5.0
Areeiro,442,2,1.5,4.449999999999999,5.0
Alvalade,284,3,2.0,4.533333333333334,5.0
Ajuda,229,1,2.0,4.5,5.0
Olivais,209,1,2.0,4.3,5.0
Alcabideche,193,1,2.0,4.5,5.0
Beato,130,1,1.0,4.7,5.0
Marvila,114,3,2.0,4.133333333333334,5.0
Benfica,90,1,2.0,4.7,5.0
Mafra,75,2,1.5,4.45,5.0
Santa Clara,36,1,1.0,4.3,5.0
Azambuja,7,1,2.0,4.9,5.0
Arruda dos Vinhos,3,1,1.0,4.2,5.0
